GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
premiertest,com.openclassrooms.testing.premiertest,App,7,0,0,0,3,0,2,0,2,0
premiertest,com.openclassrooms.testing.premiertest,Calculator,11,15,0,0,4,6,2,4,2,4
